place_id,name,main_category,rating,reviews,address,link,categories,description,Grande Categorie,latitude,longitude
ChIJP2hW0LCD5kcR4lJFm1jSe9A,Micro-creches Les Bebidoux (Trappes - 78190),ecole pour enfant,5.0,28.0,"Micro-creches Les Bebidoux (Trappes - 78190), 93 Rue Jean Jaures, 78190 Trappes",https://www.google.com/maps/place/Micro-cr%C3%A8ches+Les+B%C3%A9bidoux+%28Trappes+-+78190%29/data=!4m7!3m6!1s0x47e683b0d056683f:0xd07bd2589b4552e2!8m2!3d48.774408!4d1.9968236!16s%2Fg%2F11h80c5084!19sChIJP2hW0LCD5kcR4lJFm1jSe9A?authuser=0&hl=fr&rclk=1,Creche,Micro-creches Les Bebidoux (Trappes - 78190) ecole pour enfant Creche,Enseignement,48.774408,1.9968236
ChIJ--oRb-OD5kcRGJ8rvbx1YGk,EAV - Agence de TRAPPES,Service d'assainissement,4.5,27.0,"EAV - Agence de TRAPPES, 5 Av. Georges Politzer, 78190 Trappes",https://www.google.com/maps/place/EAV+-+Agence+de+TRAPPES/data=!4m7!3m6!1s0x47e683e36f11eafb:0x696075bcbd2b9f18!8m2!3d48.770563!4d1.9975923!16s%2Fg%2F11dx8ntsnq!19sChIJ--oRb-OD5kcRGJ8rvbx1YGk?authuser=0&hl=fr&rclk=1,"Service d'assainissement, Service d'entretien et de reparation de fosses septiques","EAV - Agence de TRAPPES Service d'assainissement Service d'assainissement, Service d'entretien et de reparation de fosses septiques","Services Publics, Administration",48.770563,1.9975923
ChIJB1vrvfOD5kcRcxtSG62mLjM,Maison de sante du Theatre - Trappes,Medecin generaliste,2.8,26.0,"Maison de sante du Theatre - Trappes, 17 Rue Gerard Philipe, 78190 Trappes",https://www.google.com/maps/place/Maison+de+sant%C3%A9+du+Th%C3%A9%C3%A2tre+-+Trappes/data=!4m7!3m6!1s0x47e683f3bdeb5b07:0x332ea6ad1b521b73!8m2!3d48.7758163!4d1.9857772!16s%2Fg%2F11b6d08jhh!19sChIJB1vrvfOD5kcRcxtSG62mLjM?authuser=0&hl=fr&rclk=1,"Medecin generaliste, Sage-femme, Cabinet infirmier, Osteopathe, Orthophoniste","Maison de sante du Theatre - Trappes Medecin generaliste Medecin generaliste, Sage-femme, Cabinet infirmier, Osteopathe, Orthophoniste",Sante,48.7758163,1.9857772
ChIJSSwu1S-D5kcRStY-TO39jbg,Espace 1901 - Maison des associations,Association ou organisation,4.7,26.0,"Espace 1901 - Maison des associations, 22 Rue Maurice Ravel, 78190 Trappes","https://www.google.com/maps/place/Espace+1901+-+Maison+des+associations/@48.7816821,1.9889328,17z/data=!3m1!4b1!4m6!3m5!1s0x47e6832fd52e2c49:0xb88dfded4c3ed64a!8m2!3d48.7816821!4d1.9889328!16s%2Fg%2F11hf87klyk?authuser=0&hl=fr&entry=ttu",Association ou organisation,Espace 1901 - Maison des associations Association ou organisation Association ou organisation,Aide sociale,48.7816821,1.9889328
ChIJ94SUN_mD5kcRdc85EfNhBSU,Conservatoire de musique et de danse,Ecole de musique,4.6,26.0,"Conservatoire de musique et de danse, 4 Rue des Fermes, 78190 Trappes","https://www.google.com/maps/place/Conservatoire+de+musique+et+de+danse/@48.7781904,1.9969799,17z/data=!3m1!4b1!4m6!3m5!1s0x47e683f9379484f7:0x250561f31139cf75!8m2!3d48.7781904!4d1.9969799!16s%2Fg%2F11flt35z0h?authuser=0&hl=fr&entry=ttu",Ecole de musique,Conservatoire de musique et de danse Ecole de musique Ecole de musique,Enseignement,48.77819040000001,1.9969799
ChIJWQZCduSD5kcR8B5V4tvGdpc,H-Tube CPIB,Magasin de materiaux de construction,4.2,26.0,"H-Tube CPIB, 8 Av. Roger Hennequin, 78190 Trappes","https://www.google.com/maps/place/H-Tube+CPIB/@48.7694726,1.9973952,17z/data=!3m1!4b1!4m6!3m5!1s0x47e683e476420659:0x9776c6dbe2551ef0!8m2!3d48.7694726!4d1.9973952!16s%2Fg%2F1tgz4t2l?authuser=0&hl=fr&entry=ttu",Magasin de materiaux de construction,H-Tube CPIB Magasin de materiaux de construction Magasin de materiaux de construction,Commerce et Restauration,48.7694726,1.9973952
ChIJVViSvPaD5kcRFyMp5WpWAAU,Centre de sante municipal - Docteur Jacques Fribourg,Centre medical public,2.5,25.0,"Centre de sante municipal - Docteur Jacques Fribourg, 15 Av. du Mahatma Gandhi, 78190 Trappes",https://www.google.com/maps/place/Centre+de+sant%C3%A9+municipal+-+Docteur+Jacques+Fribourg/data=!4m7!3m6!1s0x47e683f6bc925855:0x500566ae5292317!8m2!3d48.7784333!4d1.9869295!16s%2Fg%2F11byfljtk6!19sChIJVViSvPaD5kcRFyMp5WpWAAU?authuser=0&hl=fr&rclk=1,"Centre medical public, Medecin","Centre de sante municipal - Docteur Jacques Fribourg Centre medical public Centre medical public, Medecin",Sante,48.7784333,1.9869295
ChIJBQU4RPiD5kcRKGUliUJz21k,College Le Village,College,4.0,24.0,"College Le Village, 90 Rue de Montfort, 78190 Trappes",https://www.google.com/maps/place/Coll%C3%A8ge+Le+Village/data=!4m7!3m6!1s0x47e683f844380505:0x59db734289256528!8m2!3d48.7809791!4d1.9965913!16s%2Fg%2F1tmpv91t!19sChIJBQU4RPiD5kcRKGUliUJz21k?authuser=0&hl=fr&rclk=1,"College, Etablissement d'enseignement secondaire","College Le Village College College, Etablissement d'enseignement secondaire",Enseignement,48.7809791,1.9965913
ChIJMcpYZfmD5kcRHL4a2ozON6Q,Centre socioculturel Annette Moro,Centre social,4.5,24.0,"Centre socioculturel Annette Moro, 18 Sq. George Sand, 78190 Trappes","https://www.google.com/maps/place/Centre+socioculturel+Annette+Moro/@48.7833254,1.9907751,17z/data=!3m1!4b1!4m6!3m5!1s0x47e683f96558ca31:0xa437ce8cda1abe1c!8m2!3d48.7833254!4d1.9907751!16s%2Fg%2F113j085m7?authuser=0&hl=fr&entry=ttu",Centre social,Centre socioculturel Annette Moro Centre social Centre social,Aide sociale,48.7833254,1.9907751
ChIJ642p7wmE5kcR0T9d7cxPKkA,Lycee La Plaine de Neauphle,Etablissement d'enseignement secondaire,3.2,22.0,"Lycee La Plaine de Neauphle, 3 Place Naguib Mahfouz, 78190 Trappes",https://www.google.com/maps/place/Lyc%C3%A9e+La+Plaine+de+Neauphle/data=!4m7!3m6!1s0x47e68409efa98deb:0x402a4fcced5d3fd1!8m2!3d48.7813035!4d1.9841184!16s%2Fg%2F12hlbb3bp!19sChIJ642p7wmE5kcR0T9d7cxPKkA?authuser=0&hl=fr&rclk=1,Etablissement d'enseignement secondaire,Lycee La Plaine de Neauphle Etablissement d'enseignement secondaire Etablissement d'enseignement secondaire,Enseignement,48.7813035,1.9841184
